Day,Revenue,Split
1,0.0,Train
2,0.000793191,Train
3,0.825541786,Train
4,0.32033228,Train
5,1.082554085,Train
6,0.107653784,Train
7,0.493901361,Train
8,0.376698452,Train
9,0.304074848,Train
10,0.591747849,Train
11,0.731018901,Train
12,1.111586215,Train
13,0.960902689,Train
14,0.964013419,Train
15,0.979731886,Train
16,1.085546892,Train
17,1.262549787,Train
18,1.331183307,Train
19,1.411429732,Train
20,1.709116779,Train
21,1.735783527,Train
22,1.760959886,Train
23,2.558601513,Train
24,1.48420495,Train
25,2.089944633,Train
26,2.840568572,Train
27,2.162204307,Train
28,3.113269737,Train
29,2.746580938,Train
30,3.079242819,Train
31,2.647838543,Train
32,3.118230798,Train
33,2.442888497,Train
34,3.042407809,Train
35,3.012894439,Train
36,3.290825745,Train
37,3.274029416,Train
38,3.586805202,Train
39,3.170426377,Train
40,3.572077947,Train
41,2.693130469,Train
42,2.399656142,Train
43,2.433776379,Train
44,2.593848576,Train
45,3.323496491,Train
46,2.951387252,Train
47,3.216948781,Train
48,2.877026963,Train
49,3.057523831,Train
50,2.858495329,Train
51,2.533082553,Train
52,3.223959721,Train
53,2.973617615,Train
54,3.360834071,Train
55,2.31040157,Train
56,1.843596513,Train
57,1.631977575,Train
58,1.644604449,Train
59,1.497246827,Train
60,1.267859555,Train
61,1.587253694,Train
62,2.131085418,Train
63,1.995083459,Train
64,2.330776602,Train
65,1.742724907,Train
66,2.588660848,Train
67,1.505169543,Train
68,2.226315816,Train
69,2.973069578,Train
70,2.72388059,Train
71,2.964093274,Train
72,3.88820192,Train
73,3.938590458,Train
74,5.138308366,Train
75,5.482323172,Train
76,6.133334991,Train
77,6.366939393,Train
78,6.434758029,Train
79,6.102308899,Train
80,6.236527145,Train
81,6.815921859,Train
82,7.07286465,Train
83,6.274130876,Train
84,7.375977982,Train
85,6.916245052,Train
86,7.408050282,Train
87,7.863842943,Train
88,6.783895049,Train
89,7.583081086,Train
90,7.763779393,Train
91,7.344577122,Train
92,7.982311471,Train
93,6.946042709,Train
94,7.495289393,Train
95,7.450862838,Train
96,6.82734429,Train
97,7.095401048,Train
98,6.322858273,Train
99,6.453783819,Train
100,6.90142039,Train
101,6.364222316,Train
102,6.487956156,Train
103,6.055526889,Train
104,6.416777674,Train
105,6.695885552,Train
106,6.381637205,Train
107,6.151061938,Train
108,6.604086168,Train
109,7.181114215,Train
110,7.946744172,Train
111,8.034009599,Train
112,8.034351705,Train
113,7.944531429,Train
114,7.573324241,Train
115,7.164514393,Train
116,6.309727531,Train
117,7.418626769,Train
118,7.00182315,Train
119,8.029547488,Train
120,7.330337859,Train
121,7.606007772,Train
122,7.110366293,Train
123,7.131337879,Train
124,6.76488602,Train
125,7.260526894,Train
126,7.544141343,Train
127,7.33093608,Train
128,7.568258573,Train
129,7.486801358,Train
130,8.117012517,Train
131,7.415766826,Train
132,7.780389211,Train
133,7.830950713,Train
134,7.92206928,Train
135,7.76971031,Train
136,8.176501818,Train
137,7.753128355,Train
138,7.44780328,Train
139,6.606752799,Train
140,7.60677813,Train
141,7.157498503,Train
142,7.218478047,Train
143,7.485049457,Train
144,7.152312945,Train
145,7.506441261,Train
146,7.029261517,Train
147,7.06516091,Train
148,6.585496947,Train
149,6.108246159,Train
150,5.913673164,Train
151,6.844251596,Train
152,5.936896508,Train
153,7.146617054,Train
154,5.698388374,Train
155,6.41938589,Train
156,5.351951701,Train
157,6.013657257,Train
158,5.676967765,Train
159,5.362054145,Train
160,5.136908683,Train
161,6.13872931,Train
162,5.468684959,Train
163,5.457250359,Train
164,6.305916197,Train
165,6.15007653,Train
166,6.565829307,Train
167,6.966321242,Train
168,6.31170634,Train
169,5.943952602,Train
170,5.841843614,Train
171,6.681780332,Train
172,5.664625151,Train
173,5.481281548,Train
174,5.671976498,Train
175,5.188018593,Train
176,5.609863758,Train
177,4.907574806,Train
178,5.437139336,Train
179,5.298284266,Train
180,5.412603871,Train
181,5.674703941,Train
182,6.233395622,Train
183,5.964008868,Train
184,6.223849962,Train
185,6.179556586,Train
186,5.921670524,Train
187,6.277405791,Train
188,5.871568903,Train
189,5.816199182,Train
190,6.43853443,Train
191,5.90074056,Train
192,6.213554554,Train
193,5.561818866,Train
194,6.015062568,Train
195,6.245567733,Train
196,5.617964732,Train
197,6.047722333,Train
198,5.328600654,Train
199,5.984050593,Train
200,5.718670217,Train
201,6.168549778,Train
202,6.419179952,Train
203,6.770455873,Train
204,6.460004712,Train
205,5.973167431,Train
206,5.589806569,Train
207,5.966559897,Train
208,6.50841071,Train
209,5.914158993,Train
210,6.137185499,Train
211,6.701932741,Train
212,6.481133865,Train
213,6.502357716,Train
214,7.223705866,Train
215,6.832373048,Train
216,6.946346894,Train
217,6.239278536,Train
218,7.064640345,Train
219,6.695172714,Train
220,5.680079038,Train
221,6.412772263,Train
222,5.811691619,Train
223,6.18833241,Train
224,5.280124523,Train
225,6.278287558,Train
226,6.708512399,Train
227,6.524116876,Train
228,6.378960244,Train
229,6.434691767,Train
230,6.47520127,Train
231,7.384317349,Train
232,7.651861894,Train
233,8.701207113,Train
234,7.591809144,Train
235,8.133817813,Train
236,7.353039585,Train
237,7.544987314,Train
238,7.065749819,Train
239,7.550080449,Train
240,7.568530826,Train
241,6.781578804,Train
242,6.518598196,Train
243,6.365795463,Train
244,6.779827762,Train
245,6.517114237,Train
246,6.705527436,Train
247,7.092380299,Train
248,7.058309661,Train
249,6.544608743,Train
250,7.42956329,Train
251,7.721857658,Train
252,6.502133156,Train
253,7.391609269,Train
254,6.989221405,Train
255,7.45339929,Train
256,7.591757865,Train
257,7.766084958,Train
258,8.361602643,Train
259,8.037333381,Train
260,8.959983524,Train
261,9.15113802,Train
262,8.905577837,Train
263,9.415349311,Train
264,9.724684431,Train
265,10.09011507,Train
266,10.25465961,Train
267,9.549328447,Train
268,10.08531775,Train
269,10.86821621,Train
270,10.43282617,Train
271,11.15156592,Train
272,10.64484963,Train
273,10.96487737,Train
274,11.68964623,Train
275,10.89802648,Train
276,11.15595137,Train
277,11.12450766,Train
278,11.45453995,Train
279,10.88066325,Train
280,11.39306098,Train
281,11.55030041,Train
282,11.35877212,Train
283,11.40012934,Train
284,10.80415319,Train
285,10.95113957,Train
286,10.00965452,Train
287,10.63852616,Train
288,10.11305364,Train
289,10.0095536,Train
290,10.2115207,Train
291,10.17354697,Train
292,9.849481019,Train
293,10.24676663,Train
294,9.835264689,Train
295,10.49314322,Train
296,9.603350087,Train
297,9.24876006,Train
298,9.401037919,Train
299,9.939871378,Train
300,10.13535112,Train
301,9.647129671,Train
302,10.78557055,Train
303,9.760365268,Train
304,10.3869437,Train
305,10.4788635,Train
306,10.57752336,Train
307,10.47291662,Train
308,10.40893697,Train
309,9.654938495,Train
310,9.834805834,Train
311,9.425696511,Train
312,9.55456512,Train
313,10.10855667,Train
314,9.526518729,Train
315,10.03160103,Train
316,9.68084097,Train
317,9.70637883,Train
318,8.587347032,Train
319,9.048395345,Train
320,8.263694395,Train
321,9.0399819,Train
322,9.163766036,Train
323,9.518616967,Train
324,8.592423729,Train
325,8.600153773,Train
326,8.899976886,Train
327,9.491880902,Train
328,9.119437222,Train
329,10.17182049,Train
330,10.15898941,Train
331,10.88522035,Train
332,10.05228172,Train
333,10.22987502,Train
334,9.841212706,Train
335,10.49074993,Train
336,10.19191851,Train
337,10.01436423,Train
338,9.99085923,Train
339,10.02681131,Train
340,9.525744753,Train
341,9.765642634,Train
342,9.555497572,Train
343,9.11228015,Train
344,8.759691125,Train
345,9.249328093,Train
346,8.77552317,Train
347,9.854105527,Train
348,10.25335772,Train
